symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"vomiting, severe headache",Migraine,Propranolol,Shirashuladyavati,Avoid triggers,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"fatigue, nausea, dark urine, swelling, pale stools",Liver Failure,Lactulose,Bhumi Amla,Light diet,Liver failure is life-threatening and requires emergency hospitalization,Yes
"reduced mobility, joint stiffness, warmth in joints, swelling",Joint Pain,Hyaluronic Acid,Nirgundi,Turmeric milk,Regular exercise and weight management help preserve joint health,No
"confusion, fever",Meningitis,Vancomycin,Shankhpushpi,Avoid close contact,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"daytime fatigue, concentration problems, difficulty falling asleep, early morning awakening, irritability",Insomnia,Eszopiclone,Shankhpushpi,Avoid caffeine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"blurred vision, chest discomfort, nosebleeds",Hypertension,Telmisartan,Jatamansi,Reduce salt intake,High blood pressure can be controlled with medication and lifestyle changes,No
"loss of appetite, throwing up, nausea, stomach pain",Vomiting,Ondansetron,Pudina,Rice water,Replace lost fluids and seek help if vomiting persists,No
"loose clothing, loss of muscle mass, unintended weight loss",Weight Loss,Protein Powder,Drakshasava,Frequent meals,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"enlarged pores, shiny skin, greasy feeling",Oily Skin,Clay Masks,Neem,Clay masks,Use oil-free products and maintain consistent skincare routine,No
"blurred vision, neck pain, fatigue, headache",Hypertension,Ramipril,Punarnava,Meditation,High blood pressure can be controlled with medication and lifestyle changes,No
"irregular heartbeat, burns, muscle pain",Electrocution,IV Fluids,Jatyadi Ghrita for burns,Check breathing and pulse,Turn off power source before helping and seek immediate medical attention,Yes
"underarm odor, unpleasant smell, excessive sweating, foot odor",Body Odor,Antiperspirants,Turmeric,Natural deodorizers,Good personal hygiene and appropriate products control body odor,No
"vomiting, severe abdominal pain",Appendicitis,Ondansetron,Bilva,Apply heat carefully,Appendicitis requires immediate surgery - do not delay treatment,Yes
"loss of consciousness, unable to speak, inability to breathe, clutching throat",Choking,Emergency Airway Management,CPR if needed,Clear visible obstruction,Perform Heimlich maneuver immediately and call emergency services,Yes
"weakness, elbow ache, stiffness, pain with gripping",Elbow Pain,Physiotherapy,Nirgundi,Rest,Elbow pain improves with rest and avoiding aggravating activities,No
"tongue soreness, taste changes",Tongue Pain,Iron,Honey,Avoid spicy foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"mucus, chest congestion",Wet Cough,Salbutamol,Sitopaladi Churna,Ginger tea,Expectorants help thin mucus and make coughing more productive,No
"swelling, pain, minor blisters",Minor Burns,Bandages,Ghee,Pain relief,"Cool water immediately, keep burn clean and protected",No
"blue lips, panic, extreme difficulty breathing, wheezing, sweating",Severe Asthma Attack,Budesonide,Bharangyadi Kwath,Stay calm,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"swelling, shortness of breath, confusion, nausea",Kidney Failure,Phosphate Binders,Chandraprabha Vati,Avoid self-medication,Kidney failure requires immediate medical intervention and dialysis,Yes
"confusion, vision problems, speech difficulty, face drooping",Stroke,Aspirin,Saraswatarishta,Note time of symptoms,Time is brain - every minute matters in stroke treatment,Yes
"ear ache, ringing, discharge",Ear Pain,Ear Drops,Karna Purana Oil,Avoid water in ears,Most ear pain resolves with proper treatment and care,No
"bleeding, open wound, risk of infection, pain",Minor Cuts,Bandages,Neem,Clean wound,"Keep wound clean and dry, change dressing regularly",No
"chest discomfort, tightness, pain with breathing, burning, muscle pain",Chest Pain,Antacids,Arjuna,Rest,Non-cardiac chest pain usually responds to rest and pain relief,No
"headache, muscle spasms, neck stiffness, shoulder pain",Neck Pain,Muscle Relaxants,Rasna,Gentle neck exercises,Maintain good posture and use ergonomic workstation setup,No
"difficulty gripping, stiffness, finger ache, swelling",Finger Pain,Paracetamol,Nirgundi,Gentle massage,Keep fingers active with gentle exercises to maintain mobility,No
"blue fingers, poor circulation, cold fingers, stiffness, numbness",Cold Hands,Massage,Black Pepper,Warm water,Keep hands warm and improve circulation with exercise,No
"swelling, knee ache",Knee Pain,Ibuprofen,Yograj Guggulu,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"bloating, nausea, fullness",Indigestion,Simethicone,Hingwashtak Churna,Fennel seeds,Eat slowly and avoid overeating to prevent indigestion,No
"leg ache, tingling, cramps",Leg Pain,Compression Stockings,Vishgarbha Oil,Massage,Regular exercise and proper posture help prevent leg pain,No
"frequent urination, fatigue, excessive thirst, weight loss",Diabetes Type 2,Pioglitazone,Methi,Exercise regularly,Diabetes can be well managed with proper medication and lifestyle changes,No
"mood changes, insomnia, fatigue, digestive issues, difficulty concentrating",Jet Lag,Stimulants,Jatamansi,Adjust sleep schedule,Gradually adjust to new time zone and get sunlight exposure,No
"bleeding, pain, open wound",Minor Cuts,Antibiotic Ointment,Aloe Vera,Antiseptic,"Keep wound clean and dry, change dressing regularly",No
"swelling, difficulty eating",Tongue Pain,Iron,Amalaki,Cool foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"difficulty breathing, rapid breathing, chest tightness, wheezing, shortness of breath",Breathing Problems,Expectorants,Vasaka,Steam inhalation,"Identify and avoid breathing triggers, keep rescue medications handy",No
"no breathing, no pulse",Cardiac Arrest,Atropine,Pushkarmool,Clear airway,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"taste changes, difficulty eating, burning, tongue soreness, swelling",Tongue Pain,Iron,Triphala,Cool foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"bad taste, white tongue coating, dry mouth",Bad Breath,Antibacterial Mouthwash,Triphala,Stay hydrated,Good oral hygiene and regular dental checkups prevent bad breath,No
"rattling sound, mucus",Wet Cough,Guaifenesin,Kantakari,Honey,Expectorants help thin mucus and make coughing more productive,No
"shortness of breath, dizziness, headache, nosebleeds",Hypertension,Hydrochlorothiazide,Punarnava,Meditation,High blood pressure can be controlled with medication and lifestyle changes,No
"throat clearing, voice loss",Voice Problems,Voice Rest,Tulsi,Avoid whispering,Rest your voice and stay hydrated for vocal cord healing,No
"cold hands and feet, restless legs, weakness, brittle nails, rapid heartbeat",Iron Deficiency Anemia,Vitamin B12,Amalaki,Avoid tea with meals,Take iron supplements with vitamin C for better absorption,No
"receding hairline, bald patches, itchy scalp, thinning hair, excessive shedding",Hair Loss,Hair Transplant,Fenugreek,Avoid tight hairstyles,Early treatment gives better results for hair loss,No
"low fever, body aches, sore throat, congestion, headache",Common Cold,Cetirizine,Talisadi Churna,Steam inhalation,Common cold usually resolves in 7-10 days with proper rest,No
"swelling, pain, risk of infection, embedded object",Splinters,Antibiotics,Tea Tree Oil,Apply antiseptic,Remove splinter completely and watch for signs of infection,No
"blue lips, chest tightness, wheezing, inability to speak, sweating",Severe Asthma Attack,Montelukast,Bharangyadi Kwath,Use rescue inhaler immediately,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"swelling, pain, embedded object",Splinters,Antibiotics,Calendula,Clean area,Remove splinter completely and watch for signs of infection,No
"pitch changes, hoarse voice, voice loss, throat clearing",Voice Problems,Steam Inhalation,Yashtimadhu,Voice rest,Rest your voice and stay hydrated for vocal cord healing,No
"discoloration, pain, tenderness, swelling",Bruises,Arnica,Ice,Ice application,Most bruises heal naturally within 2-3 weeks,No
"dehydration, nausea",Hangover,IV Fluids,Lemon,Drink water,Time and hydration are the best cures for hangover,No
"appetite changes, loss of interest, concentration problems",Depression,Escitalopram,Brahmi,Sunlight exposure,Depression is treatable - seek professional help and maintain social connections,No
"brittle nails, rapid heartbeat, restless legs, weakness",Iron Deficiency Anemia,Ferrous Sulfate,Amalaki,Avoid tea with meals,Take iron supplements with vitamin C for better absorption,No
"inability to breathe, blue skin, panic",Choking,Oxygen,No herbal treatment during emergency,Back blows,Perform Heimlich maneuver immediately and call emergency services,Yes
"mouth odor, white tongue coating, gum problems, bad taste",Bad Breath,Antibiotics,Mint,Avoid strong foods,Good oral hygiene and regular dental checkups prevent bad breath,No
"blurred vision, fatigue",Diabetes Type 2,Pioglitazone,Jamun,Monitor blood sugar,Diabetes can be well managed with proper medication and lifestyle changes,No
"itchy skin, swelling, hives, red rash, dry skin",Skin Allergy,Calamine,Khadira,Avoid allergens,"Identify and avoid triggers, keep skin moisturized",No
"scratchy feeling, throat pain, swollen glands, hoarse voice, difficulty swallowing",Sore Throat,Paracetamol,Yashtimadhu,Throat lozenges,Most sore throats are viral and resolve with symptomatic treatment,No
"dizziness, sweating, shortness of breath",Heart Attack,Metoprolol,Saraswatarishta,Chew aspirin if available,Heart attack is a medical emergency - call 108 immediately and rush to hospital,Yes
"severe pain, blisters, swelling, difficulty breathing",Severe Burns,IV Fluids,Kumari,Call emergency,Severe burns need immediate medical attention to prevent complications,Yes
"discoloration, tenderness",Bruises,Arnica,Ice,Elevation,Most bruises heal naturally within 2-3 weeks,No
"swelling, pain",Splinters,Tetanus Shot,Honey,Clean area,Remove splinter completely and watch for signs of infection,No
"tenderness, pain, discoloration",Bruises,Ice Packs,Turmeric,Avoid further injury,Most bruises heal naturally within 2-3 weeks,No
"fullness, loss of appetite",Indigestion,Pantoprazole,Ajwain,Fennel seeds,Eat slowly and avoid overeating to prevent indigestion,No
"numbness, blue feet, cold toes, tingling",Cold Feet,Warming Socks,Cinnamon,Warm socks,"Keep feet warm and dry, improve circulation with movement",No
"open wound, bleeding, risk of infection, pain",Minor Cuts,Tetanus Shot,Aloe Vera,Cover with bandage,"Keep wound clean and dry, change dressing regularly",No
"stomach discomfort, bloating, fullness, nausea, loss of appetite",Indigestion,Antacids,Ajwain,Fennel seeds,Eat slowly and avoid overeating to prevent indigestion,No
"neck stiffness, headache, muscle spasms, pain turning head",Neck Pain,Muscle Relaxants,Rasna,Avoid sudden movements,Maintain good posture and use ergonomic workstation setup,No
"non-productive cough, throat irritation",Dry Cough,Honey,Vasaka,Throat lozenges,Stay hydrated and use humidifier to soothe throat,No
"heavy bleeding, weakness, dizziness, cold skin, pale skin",Severe Bleeding,Platelets,Ashoka,Apply direct pressure,Apply firm pressure to bleeding area and call emergency immediately,Yes
"swelling, peeling",Sunburn,Hydrocortisone,Coconut Oil,Avoid further sun,Prevent sunburn with sunscreen and protective clothing,No
"throat pain, swollen glands, scratchy feeling, hoarse voice",Sore Throat,Paracetamol,Tulsi,Salt water gargle,Most sore throats are viral and resolve with symptomatic treatment,No
"seizures, difficulty breathing, unconsciousness",Poisoning,Naloxone,Guduchi,Do not induce vomiting,Contact poison control center immediately - time is critical,Yes
"throbbing pain, toothache, pain while chewing, swelling, sensitivity",Tooth Pain,Ibuprofen,Clove Oil,Salt water rinse,See dentist promptly for proper diagnosis and treatment,No
"reduced mobility, swelling, joint stiffness",Joint Pain,Glucosamine,Shallaki,Turmeric milk,Regular exercise and weight management help preserve joint health,No
"losing things, difficulty concentrating, confusion, poor focus",Memory Problems,Piracetam,Medhya Rasayan,Regular exercise,Keep mind active with mental exercises and maintain healthy lifestyle,No
"difficulty concentrating, restlessness, sleep problems, fatigue",Anxiety,Clonazepam,Shankhpushpi,Adequate sleep,Practice relaxation techniques and consider counseling for anxiety management,No
"pain, tenderness, swelling, discoloration",Bruises,Arnica,Arnica,Elevation,Most bruises heal naturally within 2-3 weeks,No
"tenderness, discomfort, cramping, abdominal pain",Stomach Pain,Antacids,Hingwashtak Churna,Ginger tea,Most stomach pain improves with rest and dietary modifications,No
"risk of infection, embedded object",Splinters,Antiseptic,Calendula,Sterilize tweezers,Remove splinter completely and watch for signs of infection,No
"tingling, swelling, weakness",Leg Pain,Muscle Relaxants,Rasna,Leg elevation,Regular exercise and proper posture help prevent leg pain,No
"taste changes, tongue soreness",Tongue Pain,Topical Anesthetics,Triphala,Cool foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"swelling, pain, redness, minor blisters",Minor Burns,Burn Gel,Honey,Pain relief,"Cool water immediately, keep burn clean and protected",No
"no breathing, collapse, unconsciousness, blue skin",Cardiac Arrest,Dopamine,Drakshasava,Clear airway,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"swelling, stiffness, ankle ache",Ankle Pain,Topical Gels,Mahanarayana Oil,Proper footwear,Most ankle injuries heal with rest and appropriate care,No
"blue skin, clutching throat, loss of consciousness, inability to breathe",Choking,Intubation,Immediate physical intervention required,Back blows,Perform Heimlich maneuver immediately and call emergency services,Yes
"loss of balance, vision problems",Stroke,Amlodipine,Brahmi,Do not give food or water,Time is brain - every minute matters in stroke treatment,Yes
"toothache, swelling, throbbing pain",Tooth Pain,Antiseptic Mouthwash,Trikatu,Soft foods,See dentist promptly for proper diagnosis and treatment,No
"weakness, difficulty concentrating, tiredness, sleepiness",Fatigue,Iron Supplements,Chyawanprash,Stress management,Maintain regular sleep schedule and balanced diet for energy,No
"high body temperature, hot dry skin, rapid pulse, nausea, headache",Heat Stroke,IV Fluids,Fennel Water,Move to cool place,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"stiffness, swelling, finger ache, difficulty gripping",Finger Pain,Topical Gels,Yograj Guggulu,Finger exercises,Keep fingers active with gentle exercises to maintain mobility,No
"cramps, stiffness, swelling, tenderness, fatigue",Muscle Pain,Paracetamol,Rasna,Gentle massage,Most muscle pain resolves with rest and gentle stretching,No
"sweating, loss of appetite, feeling sick, dizziness",Nausea,Metoclopramide,Dhanyak,Lemon water,Stay hydrated and eat bland foods when nauseous,No
"clutching throat, panic, unable to speak",Choking,Oxygen,Seek medical help,Heimlich maneuver,Perform Heimlich maneuver immediately and call emergency services,Yes
"disturbed sleep, daytime fatigue, morning headaches, loud breathing during sleep",Snoring,Surgery,Cardamom,Nasal strips,Weight loss and sleeping position changes often reduce snoring,No
"numbness, difficulty gripping",Finger Pain,Topical Gels,Yograj Guggulu,Avoid overuse,Keep fingers active with gentle exercises to maintain mobility,No
"tongue soreness, swelling",Tongue Pain,Iron,Amalaki,Mouth rinses,Most tongue pain resolves with proper oral care and avoiding irritants,No
"rattling sound, difficulty breathing, chest congestion",Wet Cough,Expectorants,Talisadi Churna,Honey,Expectorants help thin mucus and make coughing more productive,No
"cramps, weakness, stiffness, tingling",Leg Pain,Compression Stockings,Rasna,Gentle exercise,Regular exercise and proper posture help prevent leg pain,No
"charred skin, severe pain, blisters, difficulty breathing, shock",Severe Burns,Silver Sulfadiazine,Haridra,Cool water immediately,Severe burns need immediate medical attention to prevent complications,Yes
"cramps, weakness, stiffness",Leg Pain,Ibuprofen,Yograj Guggulu,Leg elevation,Regular exercise and proper posture help prevent leg pain,No
"cracks, itching",Dry Skin,Ceramides,Aloe Vera,Gentle soaps,Keep skin moisturized and avoid harsh products,No
"pain, swelling, tenderness, discoloration",Bruises,Pain Relievers,Arnica,Ice application,Most bruises heal naturally within 2-3 weeks,No
"swelling, charred skin, shock",Severe Burns,Tetanus Injection,Manjistha,Call emergency,Severe burns need immediate medical attention to prevent complications,Yes
"pale skin, rapid heartbeat, restless legs, weakness, brittle nails",Iron Deficiency Anemia,Ferrous Sulfate,Mandur Bhasma,Iron rich foods,Take iron supplements with vitamin C for better absorption,No
"insomnia, mood changes",Jet Lag,Light Therapy,Shankhpushpi,Stay hydrated,Gradually adjust to new time zone and get sunlight exposure,No
"mood changes, insomnia, digestive issues",Jet Lag,Stimulants,Jatamansi,Adjust sleep schedule,Gradually adjust to new time zone and get sunlight exposure,No
"swollen glands, throat pain, scratchy feeling",Sore Throat,Antibiotics if bacterial,Tulsi,Throat lozenges,Most sore throats are viral and resolve with symptomatic treatment,No
"burning, ulcers",Mouth Pain,Topical Anesthetics,Yashtimadhu,Soft diet,Maintain good oral hygiene and avoid irritating foods,No
"reduced mobility, fatigue, joint warmth, joint pain",Arthritis,Glucosamine,Yograj Guggulu,Hot and cold compress,Regular exercise and physiotherapy help maintain joint mobility,No
"redness, swelling, nail problems, difficulty walking",Toe Pain,Toe Pads,Khadira,Proper footwear,Proper foot care and well-fitting shoes prevent most toe problems,No
"loss of interest, guilt, hopelessness",Depression,Venlafaxine,Brahmi,Meditation,Depression is treatable - seek professional help and maintain social connections,No
"fatigue, decreased urination, chest pain, swelling, shortness of breath",Kidney Failure,Phosphate Binders,Punarnava,Monitor fluid intake,Kidney failure requires immediate medical intervention and dialysis,Yes
"seizures, vomiting, confusion, nausea, difficulty breathing",Poisoning,Naloxone,Guduchi,Call poison control,Contact poison control center immediately - time is critical,Yes
"confusion, burns",Electrocution,Tetanus Shot,Brahmi,Check breathing and pulse,Turn off power source before helping and seek immediate medical attention,Yes
"swelling, tenderness, redness, bad breath",Gum Pain,Topical Gels,Triphala,Gentle brushing,Good oral hygiene prevents most gum problems,No
"cramping, abdominal pain, discomfort, tenderness",Stomach Pain,Antacids,Jeera,Warm compress,Most stomach pain improves with rest and dietary modifications,No
"fever, constipation, vomiting",Appendicitis,Ondansetron,Bilva,Do not eat or drink,Appendicitis requires immediate surgery - do not delay treatment,Yes
"stomach pain, loss of appetite, bloating, nausea, indigestion",Gastritis,Simethicone,Amalaki,Ginger tea,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"swelling, heel pain, foot ache, arch pain",Foot Pain,Ibuprofen,Vishgarbha Oil,Proper footwear,Proper footwear and foot care prevent most foot problems,No
"severe headache, loss of balance, confusion, sudden weakness",Stroke,Clopidogrel,Medhya Rasayan,Do not give food or water,Time is brain - every minute matters in stroke treatment,Yes
"headache, dizziness",Hypertension,Telmisartan,Punarnava,Regular exercise,High blood pressure can be controlled with medication and lifestyle changes,No
"cloudy urine, urgency, strong urine odor",Urinary Tract Infection,Norfloxacin,Punarnava,Maintain hygiene,Complete full course of antibiotics and increase water intake,No
"loss of appetite, chills, headache, dehydration, fatigue",Fever,Paracetamol,Mahasudarshan Churna,Sponge with lukewarm water,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"discomfort, bloating, abdominal pain, tenderness",Stomach Pain,Paracetamol,Hing,Ginger tea,Most stomach pain improves with rest and dietary modifications,No
"cold hands and feet, brittle nails",Iron Deficiency Anemia,Iron Sucrose,Punarnava,Avoid tea with meals,Take iron supplements with vitamin C for better absorption,No
"weakness, nausea, throwing up, stomach pain, loss of appetite",Vomiting,IV Fluids,Ela,ORS solution,Replace lost fluids and seek help if vomiting persists,No
"loss of appetite, sweating",Nausea,Ginger,Lavang,Lemon water,Stay hydrated and eat bland foods when nauseous,No
"confusion, headache",Heat Stroke,Monitoring,Coconut Water,Move to cool place,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"panic, wheezing",Severe Asthma Attack,Salbutamol,Vasaka,Call emergency,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"heel pain, swelling, foot ache, stiffness, arch pain",Foot Pain,Ibuprofen,Nirgundi,Foot exercises,Proper footwear and foot care prevent most foot problems,No
"no breathing, blue skin, unconsciousness",Cardiac Arrest,Amiodarone,Saraswatarishta,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"nausea, severe abdominal pain, loss of appetite",Appendicitis,Metronidazole,Bilva,Call emergency,Appendicitis requires immediate surgery - do not delay treatment,Yes
"burning sensation, hives, dry skin",Skin Allergy,Calamine,Khadira,Cold compress,"Identify and avoid triggers, keep skin moisturized",No
"sweating without heat, wet clothes, social embarrassment, profuse sweating",Excessive Sweating,Botox Injections,Rose Water,Antiperspirants,Use clinical strength antiperspirants and wear breathable clothing,No
"nasal irritation, frequent sneezing, watery eyes, runny nose, congestion",Sneezing,Cetirizine,Trikatu,Saline rinse,Identify and avoid triggers that cause sneezing,No
"frequent awakening, mood changes, irritability, concentration problems, early morning awakening",Insomnia,Trazodone,Brahmi,Avoid caffeine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"weakness, sleepiness",Fatigue,Multivitamins,Chyawanprash,Healthy diet,Maintain regular sleep schedule and balanced diet for energy,No
"difficulty falling asleep, frequent waking, fatigue, early waking",Sleep Problems,Diphenhydramine,Brahmi,Regular sleep schedule,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"high body temperature, headache",Heat Stroke,IV Fluids,Coconut Water,Move to cool place,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"vomiting, widespread rash",Severe Allergic Reaction,Prednisolone,Neem,Remove allergen,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"daytime sleepiness, frequent waking, fatigue",Sleep Problems,Zolpidem,Tagara,Relaxation techniques,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"excessive shedding, receding hairline, itchy scalp, thinning hair, bald patches",Hair Loss,Hair Transplant,Bhringraj,Onion juice,Early treatment gives better results for hair loss,No
"throat pain, scratchy feeling, swollen glands",Sore Throat,Antibiotics if bacterial,Yashtimadhu,Throat lozenges,Most sore throats are viral and resolve with symptomatic treatment,No
"dizziness, loss of consciousness, swelling of face, rapid pulse",Severe Allergic Reaction,Cetirizine,Guduchi,Remove allergen,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"peeling, red skin, swelling, fever",Sunburn,Pain Relievers,Aloe Vera,Avoid further sun,Prevent sunburn with sunscreen and protective clothing,No
"swelling, gum ache, bleeding",Gum Pain,Topical Gels,Triphala,Flossing,Good oral hygiene prevents most gum problems,No
"splitting, discoloration, ingrown nails, brittle nails",Nail Problems,Antifungal Medications,Turmeric,Moisturize cuticles,Maintain good nail hygiene and avoid trauma to nails,No
"ingrown nails, fungal infection",Nail Problems,Biotin,Coconut Oil,Avoid biting,Maintain good nail hygiene and avoid trauma to nails,No
"confusion, vomiting, seizures, nausea, difficulty breathing",Poisoning,Naloxone,Triphala,Do not induce vomiting,Contact poison control center immediately - time is critical,Yes
"muscle spasms, headache, pain turning head, shoulder pain",Neck Pain,Diclofenac,Nirgundi,Gentle neck exercises,Maintain good posture and use ergonomic workstation setup,No
"nausea, confusion, chest pain, fatigue, decreased urination",Kidney Failure,Phosphate Binders,Varun,Seek immediate medical care,Kidney failure requires immediate medical intervention and dialysis,Yes
"bloating, abdominal cramps, nausea, urgency",Diarrhea,Racecadotril,Jeeraka Aristha,Rice water,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"nausea, sweating",Motion Sickness,Scopolamine,Mint,Fresh air,Take motion sickness medication before traveling,No
"swelling, redness, tenderness, bad breath, gum ache",Gum Pain,Professional Cleaning,Yashtimadhu,Salt water rinse,Good oral hygiene prevents most gum problems,No
"itchy scalp, bald patches",Hair Loss,Biotin,Coconut Oil,Onion juice,Early treatment gives better results for hair loss,No
"neck tension, fatigue",Headache,Sumatriptan,Brahmi,Rest in dark room,Most headaches respond well to rest and pain relievers,No
"profuse sweating, wet clothes",Excessive Sweating,Iontophoresis,Alum,Breathable fabrics,Use clinical strength antiperspirants and wear breathable clothing,No
"rapid pulse, cold skin, heavy bleeding, weakness",Severe Bleeding,IV Fluids,Nagkesar,Keep patient warm,Apply firm pressure to bleeding area and call emergency immediately,Yes
"shortness of breath, difficulty speaking, chest tightness, fatigue",Asthma,Salbutamol,Talisadi Churna,Breathing exercises,Always carry rescue inhaler and identify your asthma triggers,No
"indigestion, belching, heartburn, stomach pain",Gastritis,Famotidine,Shatavari,Ginger tea,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"numbness, poor circulation, blue fingers",Cold Hands,Massage,Ginger,Hand exercises,Keep hands warm and improve circulation with exercise,No
"severe headache, dizziness",Stroke,Aspirin,Brahmi,Keep person still,Time is brain - every minute matters in stroke treatment,Yes
"social embarrassment, sweating without heat",Excessive Sweating,Iontophoresis,Rose Water,Antiperspirants,Use clinical strength antiperspirants and wear breathable clothing,No
"pitch changes, voice loss, vocal fatigue, hoarse voice",Voice Problems,Voice Rest,Honey,Avoid whispering,Rest your voice and stay hydrated for vocal cord healing,No
"difficulty breathing, unconsciousness, seizures",Poisoning,Atropine,Mahamanjisthadi Kwath,Identify poison,Contact poison control center immediately - time is critical,Yes
"swelling, bleeding, gum ache, tenderness, bad breath",Gum Pain,Pain Relievers,Nimba,Gentle brushing,Good oral hygiene prevents most gum problems,No
"throat clearing, pitch changes, hoarse voice, vocal fatigue",Voice Problems,Throat Lozenges,Yashtimadhu,Warm liquids,Rest your voice and stay hydrated for vocal cord healing,No
"pale skin, fatigue",Iron Deficiency Anemia,Folic Acid,Mandur Bhasma,Vitamin C foods,Take iron supplements with vitamin C for better absorption,No
"cramps, muscle soreness, fatigue, stiffness, swelling",Muscle Pain,Topical Analgesics,Nirgundi,Gentle massage,Most muscle pain resolves with rest and gentle stretching,No
"not feeling hungry, food aversion",Loss of Appetite,Multivitamins,Hingwashtak Churna,Ginger tea,Eat small frequent meals and include favorite foods to stimulate appetite,No
"chest discomfort, mucus, hoarse voice, dry cough, throat irritation",Common Cough,Ambroxol,Mulethi,Ginger tea,Most coughs resolve with symptomatic treatment and adequate rest,No
"fungal infection, splitting, brittle nails, discoloration, ingrown nails",Nail Problems,Biotin,Garlic,Proper trimming,Maintain good nail hygiene and avoid trauma to nails,No
"risk of infection, pain",Splinters,Tetanus Shot,Tea Tree Oil,Apply antiseptic,Remove splinter completely and watch for signs of infection,No
"loose clothing, loss of muscle mass",Weight Loss,Weight Gainers,Drakshasava,Frequent meals,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"swelling, pain, fever, blisters",Sunburn,Hydrocortisone,Coconut Oil,Aloe vera gel,Prevent sunburn with sunscreen and protective clothing,No
"dizziness, swelling of face, vomiting",Severe Allergic Reaction,Cetirizine,Neem,Call emergency immediately,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"ringing, ear ache",Ear Pain,Paracetamol,Dashmoola,Warm compress,Most ear pain resolves with proper treatment and care,No
"scaling, bumps, swelling",Skin Rash,Hydrocortisone,Neem,Oatmeal bath,"Keep skin clean and moisturized, identify and avoid triggers",No
"risk of infection, open wound",Minor Cuts,Antiseptics,Honey,Antiseptic,"Keep wound clean and dry, change dressing regularly",No
"flaky skin, tightness, cracks, scaling",Dry Skin,Urea Cream,Til Taila,Gentle soaps,Keep skin moisturized and avoid harsh products,No
"numbness, cold fingers, blue fingers",Cold Hands,Vasodilators,Ashwagandha,Wear gloves,Keep hands warm and improve circulation with exercise,No
"scaling, red rash, dry skin, burning sensation",Skin Allergy,Calamine,Khadira,Aloe vera gel,"Identify and avoid triggers, keep skin moisturized",No
"body aches, cough",Common Cold,Dextromethorphan,Tulsi,Steam inhalation,Common cold usually resolves in 7-10 days with proper rest,No
"blurred vision, fatigue",Diabetes Type 2,Metformin,Jamun,Drink bitter gourd juice,Diabetes can be well managed with proper medication and lifestyle changes,No
"difficulty walking, hip ache, pain in groin, stiffness",Hip Pain,Topical Gels,Yograj Guggulu,Gentle stretching,Hip pain often improves with physiotherapy and appropriate exercises,No
"fainting, heavy bleeding, pale skin",Severe Bleeding,IV Fluids,Ashoka,Elevate bleeding area,Apply firm pressure to bleeding area and call emergency immediately,Yes
"stomach pain, throwing up",Vomiting,Domperidone,Jeeraka,Rice water,Replace lost fluids and seek help if vomiting persists,No
"numbness, tingling",Cold Feet,Warming Socks,Cinnamon,Warm water soak,"Keep feet warm and dry, improve circulation with movement",No
"greasy feeling, acne, enlarged pores, shiny skin, blackheads",Oily Skin,Salicylic Acid,Neem,Avoid over-washing,Use oil-free products and maintain consistent skincare routine,No
"pain in groin, hip ache, difficulty walking, stiffness, limited movement",Hip Pain,Paracetamol,Yograj Guggulu,Gentle stretching,Hip pain often improves with physiotherapy and appropriate exercises,No
"blackheads, enlarged pores",Oily Skin,Retinoids,Turmeric,Use toner,Use oil-free products and maintain consistent skincare routine,No
"difficulty falling asleep, mood changes, daytime fatigue",Insomnia,Melatonin,Jatamansi,Regular sleep schedule,Good sleep hygiene and relaxation techniques improve sleep quality,No
"cough, low fever, congestion, headache, sore throat",Common Cold,Cetirizine,Giloy,Rest and sleep,Common cold usually resolves in 7-10 days with proper rest,No
